iter	Passed	Remaining
0	205	205468
1	477	238114
2	638	212127
3	875	217962
4	1036	206226
5	1198	198576
6	1424	202087
7	1584	196430
8	1748	192486
9	1904	188589
10	2063	185552
11	2215	182377
12	2368	179801
13	2512	176946
14	2662	174819
15	2810	172872
16	2953	170778
17	3101	169195
18	3252	167955
19	3392	166239
20	3562	166093
21	3722	165499
22	3884	165018
23	4114	167308
24	4282	167028
25	4464	167252
26	4688	168966
27	4872	169134
28	5032	168490
29	5179	167455
30	5311	166038
31	5425	164131
32	5560	162940
33	5747	163306
34	5964	164452
35	6140	164437
36	6309	164227
37	6460	163558
38	6613	162964
39	6727	161451
40	6919	161851
41	7136	162773
42	7336	163286
43	7488	162697
44	7643	162208
45	7792	161615
46	8021	162648
47	8209	162812
48	8350	162077
49	8540	162266
50	8694	161793
51	8892	162109
52	9101	162620
53	9220	161525
54	9354	160723
55	9521	160501
56	9634	159394
57	9742	158237
58	9956	158797
59	10188	159617
60	10385	159867
61	10603	160416
62	10768	160164
63	10980	160596
64	11165	160616
65	11394	161243
66	11581	161269
67	11780	161460
68	11960	161382
69	12151	161441
70	12280	160679
71	12393	159743
72	12531	159137
73	12647	158269
74	12764	157430
75	12886	156668
76	13080	156798
77	13270	156867
78	13429	156563
79	13599	156398
80	13765	156176
81	13888	155480
82	13984	154498
83	14139	154188
84	14305	153992
85	14415	153209
86	14520	152384
87	14663	151972
88	14837	151871
89	14964	151306
90	15080	150637
91	15230	150321
92	15396	150156
93	15587	150237
94	15798	150505
95	15919	149906
96	16099	149874
97	16283	149877
98	16484	150027
99	16682	150145
100	16849	149980
101	17035	149979
102	17216	149929
103	17375	149696
104	17542	149527
105	17708	149352
106	17910	149476
107	18038	148987
108	18135	148243
109	18246	147627
110	18364	147085
111	18466	146413
112	18596	145970
113	18716	145466
114	18840	144986
115	18946	144382
116	19049	143770
117	19153	143161
118	19256	142563
119	19355	141943
120	19460	141368
121	19603	141077
122	19779	141027
123	19975	141118
124	20144	141008
125	20311	140890
126	20528	141110
127	20678	140869
128	20776	140282
129	20933	140090
130	21043	139596
131	21188	139330
132	21317	138965
133	21470	138759
134	21566	138183
135	21690	137795
136	21882	137844
137	22106	138085
138	22320	138256
139	22526	138378
140	22754	138625
141	22967	138774
142	23071	138270
143	23169	137729
144	23333	137587
145	23475	137316
146	23600	136949
147	23746	136705
148	23898	136495
149	24002	136012
150	24099	135502
151	24268	135392
152	24382	134981
153	24480	134481
154	24577	133989
155	24734	133822
156	24851	133438
157	24949	132959
158	25069	132598
159	25176	132174
160	25271	131695
161	25370	131238
162	25469	130787
163	25585	130425
164	25681	129963
165	25789	129569
166	25964	129513
167	26150	129505
168	26325	129444
169	26460	129187
170	26557	128750
171	26670	128391
172	26786	128048
173	26880	127606
174	26981	127197
175	27096	126859
176	27224	126585
177	27368	126388
178	27561	126414
179	27746	126401
180	27900	126244
181	28023	125952
182	28119	125536
183	28261	125331
184	28385	125050
185	28489	124681
186	28584	124273
187	28690	123918
188	28858	123830
189	28982	123555
190	29087	123203
191	29256	123121
192	29425	123039
193	29613	123031
194	29790	122979
195	29964	122916
196	30159	122932
197	30330	122855
198	30514	122826
199	30693	122773
200	30879	122749
201	31063	122714
202	31206	122518
203	31324	122225
204	31432	121896
205	31528	121522
206	31624	121149
207	31723	120794
208	31859	120578
209	32033	120508
210	32231	120523
211	32404	120445
212	32578	120372
213	32765	120345
214	32939	120267
215	33113	120188
216	33307	120184
217	33422	119890
218	33590	119789
219	33762	119703
220	33936	119622
221	34118	119566
222	34342	119659
223	34531	119627
224	34702	119532
225	34796	119170
226	34898	118840
227	35081	118783
228	35260	118714
229	35357	118369
230	35456	118033
231	35685	118130
232	35866	118066
233	36055	118029
234	36152	117688
235	36247	117344
236	36341	116998
237	36436	116656
238	36535	116333
239	36636	116016
240	36735	115692
241	36828	115355
242	36932	115053
243	37028	114727
244	37125	114406
245	37228	114107
246	37338	113827
247	37504	113721
248	37678	113640
249	37853	113559
250	38015	113439
251	38154	113252
252	38248	112931
253	38352	112642
254	38447	112327
255	38544	112020
256	38701	111887
257	38829	111671
258	38924	111363
259	39035	111100
260	39132	110800
261	39226	110491
262	39322	110193
263	39425	109914
264	39531	109643
265	39635	109370
266	39732	109077
267	39836	108807
268	39933	108517
269	40038	108251
270	40135	107965
271	40229	107671
272	40323	107382
273	40421	107102
274	40518	106822
275	40618	106549
276	40760	106389
277	40938	106322
278	41049	106082
279	41154	105825
280	41297	105669
281	41462	105567
282	41631	105476
283	41790	105358
284	41925	105182
285	42055	104991
286	42236	104928
287	42405	104835
288	42584	104765
289	42719	104589
290	42814	104314
291	42911	104045
292	43041	103856
293	43212	103767
294	43385	103683
295	43567	103619
296	43748	103551
297	43918	103458
298	44081	103347
299	44201	103137
300	44315	102911
301	44408	102640
302	44532	102438
303	44649	102223
304	44819	102129
305	44976	102005
306	45101	101808
307	45198	101550
308	45295	101291
309	45424	101106
310	45603	101030
311	45735	100852
312	45831	100594
313	45949	100385
314	46130	100316
315	46293	100204
316	46426	100029
317	46522	99774
318	46661	99613
319	46851	99559
320	46967	99348
321	47064	99097
322	47163	98852
323	47260	98604
324	47444	98539
325	47542	98292
326	47637	98043
327	47734	97797
328	47828	97547
329	47931	97316
330	48038	97092
331	48143	96867
332	48237	96620
333	48333	96377
334	48428	96133
335	48524	95894
336	48618	95649
337	48728	95438
338	48916	95379
339	49079	95272
340	49188	95059
341	49340	94930
342	49507	94829
343	49675	94729
344	49844	94632
345	50013	94533
346	50140	94355
347	50311	94262
348	50487	94175
349	50684	94128
350	50797	93924
351	50892	93688
352	51005	93485
353	51177	93392
354	51309	93225
355	51439	93054
356	51613	92962
357	51737	92781
358	51914	92694
359	52009	92461
360	52109	92238
361	52209	92016
362	52364	91889
363	52472	91682
364	52567	91453
365	52678	91252
366	52848	91152
367	52945	90928
368	53058	90731
369	53184	90557
370	53280	90333
371	53386	90126
372	53530	89983
373	53699	89882
374	53862	89770
375	54004	89624
376	54098	89399
377	54196	89181
378	54291	88957
379	54387	88738
380	54490	88528
381	54587	88311
382	54688	88101
383	54788	87890
384	54882	87668
385	54977	87450
386	55080	87245
387	55175	87029
388	55291	86846
389	55428	86695
390	55528	86487
391	55626	86277
392	55740	86092
393	55844	85892
394	55945	85688
395	56083	85541
396	56260	85454
397	56391	85294
398	56495	85096
399	56614	84922
400	56773	84805
401	56875	84606
402	56987	84421
403	57092	84225
404	57210	84049
405	57322	83865
406	57418	83658
407	57516	83455
408	57707	83387
409	57872	83280
410	58053	83195
411	58218	83087
412	58403	83008
413	58586	82926
414	58745	82809
415	58913	82706
416	59088	82610
417	59259	82509
418	59412	82383
419	59510	82180
420	59661	82052
421	59826	81943
422	60019	81871
423	60147	81709
424	60250	81515
425	60382	81361
426	60565	81273
427	60668	81079
428	60766	80879
429	60872	80690
430	61062	80613
431	61247	80528
432	61422	80431
433	61595	80329
434	61692	80129
435	61823	79973
436	61990	79864
437	62165	79765
438	62291	79602
439	62386	79401
440	62534	79267
441	62635	79073
442	62731	78874
443	62833	78683
444	62998	78571
445	63166	78461
446	63299	78309
447	63398	78116
448	63571	78013
449	63750	77917
450	63940	77834
451	64070	77678
452	64164	77478
453	64263	77285
454	64363	77094
455	64479	76923
456	64681	76853
457	64810	76697
458	64933	76533
459	65037	76348
460	65134	76155
461	65234	75965
462	65329	75771
463	65465	75624
464	65643	75525
465	65814	75417
466	65948	75268
467	66047	75079
468	66143	74887
469	66242	74699
470	66349	74520
471	66496	74386
472	66667	74278
473	66842	74174
474	66976	74027
475	67086	73851
476	67183	73662
477	67281	73474
478	67375	73283
479	67471	73094
480	67565	72903
481	67667	72721
482	67776	72547
483	67917	72408
484	68096	72308
485	68220	72151
486	68314	71961
487	68413	71778
488	68516	71598
489	68623	71424
490	68723	71242
491	68846	71085
492	68968	70927
493	69113	70792
494	69279	70679
495	69417	70536
496	69523	70362
497	69621	70180
498	69719	69999
499	69820	69820
500	69917	69638
501	70012	69454
502	70109	69272
503	70205	69090
504	70303	68910
505	70399	68729
506	70498	68552
507	70630	68405
508	70793	68290
509	70959	68176
510	71060	68001
511	71170	67834
512	71289	67676
513	71452	67560
514	71632	67459
515	71800	67347
516	71988	67254
517	72100	67089
518	72197	66911
519	72299	66738
520	72396	66560
521	72504	66392
522	72602	66216
523	72746	66082
524	72922	65977
525	73043	65822
526	73194	65694
527	73294	65521
528	73392	65345
529	73487	65168
530	73584	64992
531	73714	64846
532	73915	64762
533	74038	64610
534	74140	64439
535	74261	64286
536	74357	64111
537	74455	63937
538	74558	63768
539	74657	63597
540	74758	63427
541	74866	63263
542	74979	63104
543	75074	62929
544	75219	62798
545	75409	62702
546	75581	62593
547	75743	62474
548	75842	62303
549	75941	62134
550	76037	61961
551	76203	61846
552	76350	61715
553	76497	61584
554	76687	61488
555	76859	61376
556	77002	61242
557	77110	61080
558	77223	60922
559	77320	60751
560	77416	60581
561	77513	60411
562	77616	60245
563	77724	60084
564	77831	59923
565	77929	59754
566	78045	59601
567	78157	59443
568	78272	59289
569	78368	59120
570	78464	58951
571	78560	58782
